index,title,brand,description,initial_price,final_price,availability,reviews_count,categories,top_review
11,"barney butter bare smooth almond butter, no added sugar or salt, ounces pack of",barney butter,"barney butter bare smooth almond butter, no added sugar or salt, ounces pack of",9.83,,in stock,110,grocery gourmet food pantry staples nut seed butters almond butter,get these if you want a yummy snack when youre going on trips or just to have if youre in a rush these are yummy you can eat them straight out of the pack or spread them on whatever this flavor is really delicious
12,"trucker bluetooth headsets, wireless headset with ai environmental noise cancelling mute microphone, up to h talk time, ft wireless range, bluetooth over ear headphones for pc, computer, skype",eksa,"about this item industry leading aipowered environmental noise cancellationeksatelecom cuttingedge aipowered enc tech can dynamically detect and nullifies up to ambient noise with a broad sound frequency range, and cancels it out before reaching your ears to get crystalclear communication ft ultralong wireless connectionthis truck driver bluetooth headset with a noisecancelling microphone features an ultralong wireless operating range of up to ft m away for better connectivity, faster transmission, and better stability note wireless connection distance can reach even longer distances of m ft, provided there are no obstacles support hours work time mute functionwith a large mah battery, it supports up to hours of talk time and hours of continuous music time, and it charges fully in just hours and you can monitor the battery level in your truck headset through your phone and this wireless bluetooth headset with the mute function, you can click the mute button to toggle on and off the microphone during the callonly for phone calls wide compatibility via bluetooth usb donglethe latest bluetooth tech and powerful builtin qualcomm chip of bluetooth phone headsets ensure a lightningfast and ultrastable connection just simply with a usb dongle included, no extra hassle to connect this eksatelecom trucker bluetooth headset to your desired bluetooth devices pc or laptop eksatelecom cloudsoft ear cushions month supportslip into overtheear comfort with soft, breathable, and gentle cloudsoft ear cushions this ergonomic design of trucker headset keeps pressure off your head, preventing soreness or fatigue over time you can relax in comfort and stay fully productive all day when you use our bluetooth headset with microphone if you encounter any problems, please kindly contact our professional customer service team",89.99,84.99,in stock,2232,electronics headphones earbuds accessories headphones earbuds onear headphones,"the bluetooth headset that i tested is a good product overall, but i must say it is not the best for driving when i used it inside an office, people told me that it sounded great and had no issues i even tested it with background noise from a tv, and it successfully canceled out the noise however, the real problem arose when i took it on the road with the window down the headset completely lost signal or people would say it sounded like i was underwateri believe it wouldnt be a great choice for truckers, as it may not provide the best performance in that environment for normal use, particularly in an office setting, it should be just fine the size of the headset is somewhat large, which i personally like it also has the ability to expand to fit your head size however, i did notice that even without expanding it, it fit well on my slightly larger head people with smaller heads might have some difficulty fitting it comfortablyin conclusion, i recommend this bluetooth headset for office use, but it may not be ideal for driving, especially with windows down it offers good sound quality and effective noise cancellation, but the size and potential fit issues might be a concern for some individuals"
13,"loogu desert netting scarf tactical miliary camo mesh scarves for men and women wraps ideal for wargame, sports other outdoor activities",loogu,"loogu was founded in which focus on outdoor, hunting, army, camouflage, sporting goods,and other industries,our main products are camouflage netting,ghillie suit,rain poncho,camo scarf,camo accessries,tarp,etc we have specialized in textile fabrics for many years and continuously strive to improve our product design to provide competitive, costeffective products and services thanks for your time and interest, please let us know if we can be of further assistance product details high quality production the camouflage mesh scarf is made of knit workmanship, which is more excellent than other sellers that made of drilling on whole cloth edge workmanship each camouflage mesh scarf is covered with a edging process so that the threads do not spread out two side of the edges are locked by a knitting process perfect for all climate main use camouflage, resist cold and keep warm, defense sand, antimosquito the size is super large, it can be covered on the head after unfolding, can be used for tactical camouflage, does not obstruct the line of sight product real show usage and scene noties please note that we ship from united kingdom and chinafor orders that you receive from china, customs or import fees may be due from a certain value you can find more information on the ""help pages""",13.99,11.19,in stock,900,women accessories scarves wraps,perfect for my needs
14,"pulote pcs pink plastic plates heavy duty pink disposable plates pink and gold plastic plates include pcs pink dinner plates, pcs pink dessert plates for partywedding",pulote,"about this item exquisite design our pink plastic plates use a classic round plates, decorated with a gold line around the edge of the plates our pink party plates can help you better arrange the table and make the food look more delicious value package our pink disposable plates include pink dinner plates and pink dessert plates, which can meet the dining needs of guests many occasions for use our pink plates for party are very suitable for use at family gatherings, birthday parties, weddings our pink and gold plates can help you add a festive atmosphere safe and nontoxic our pink plates are made of foodgrade materials and can be used with confidence our pink plates disposable are bpafree, safe and nontoxic convenient and fast our pink and gold plastic plates can help you set the table faster and better display your food you can just throw it away after the party, saving time and spending more time with family and friends",44.99,44.99,in stock,466,health household household supplies paper plastic disposable plates bowls cutlery plates,i brought these plates they are so nice and good quality i brought these plates for a gathering and they are reusable thats how good the plates are they are durable they are good size plates it was worth it i will definitely buy them again if needed for an event or gathering etc
15,"stahlwille double ended ring wrench set corona, mm x mm to mm x mm, shallow offset, chrome alloy steel, chrome plated, no, pcs",stahlwille,"stahwhile doubleended ring wrench set corona with shallow offset heads are made of chrome alloy steel, drop forged, hardened and tempered to provide high torque and added leverage, and polished with chrome finish for protection against rust and corrosion and offers high hardness this professional wrench set has thinwalled rings and degree shallow ring end offset which facilitate work in confined or tight spaces, perfect hand tool for automotive repair and maintenance, machinery, etc in addition, the rings are higher than standard nuts which prevents the spanner seizing on the nut it also has antislip drive as drive profile which enables high force transmission without damaging the fasteners while the force acts on the flats of the screws, the corners are left free and are not rounded off this wrench set is packed in a carton it includes mm x mm, mm x mm, mm x mm, mm x mm, mm x mm, mm x mm, mm x mm, and mm x mm double ended ring wrenches made of course in germany and manufactured under the most stringent quality control conditions and adheres to din iso specifications there are many wrenches available but hardly any that are as well thought out as stahlwille wrenches the nonslip finish means all our wrenches fit comfortably in the hand, even when used for long periods of time and when higher forces are applied by combining highquality special steels, which are subject to continuous quality controls, with a sophisticated forging process, we make them particularly durable and robust the thumb groove along the wrench handle eliminates material where there is no stress and concentrates it where it is needed similar to the principle of an hbeam in construction, extreme load bearing capacity and maximum flexural strength are achieved with lower weight as one of only a few manufacturers, stahlwille offers a comprehensively diverse range of metric, imperial, spline drive and torx wrenches stahlwilles tight manufacturing tolerances and reproducible dimensional accuracy ensure that one stahlwille wrench is as closefitting as the next in this way, both openjaw and ring wrenches will always firmly hug the fastener head for excellent powerlock",149.95,141.1,only left in stock order soon,23,tools home improvement power hand tools hand tools wrenches socket wrenches,hardness and strange of the wrench
16,"packs v battery and charger combo for volt cordless tools battery and pb charger, cell v battery capacity output ah",cell,"about this item the cell advantage professional power tool battery manufacturing factory, with dozens of research and development team so that you can use the battery more efficiently to bring convenience to your life what you get cell packs replacement v battery and charger starter kit, v mah lithium ion p and pb v battery charger ultrahigh capacity this item replacement v battery has a extended capacity of , mah and use highquality lithiumion cells certified safe cells replacement v battery and charger has multiprotect safety system ensures complete protection for you and your devices performance the replacement v battery and charger use high quality battery cell made by integrated microchip technology, builtin overcharge, overdischarge protection to extend battery life, batteries are ce fcc, rohs certified, tested by manufacturer to match or exceed oem products",69.99,69.99,in stock,316,tools home improvement power hand tools power tool parts accessories battery packs chargers battery packs,the power of the battery is long lasting
17,"general tools pack retractable utility knife ws, snapoff blade, lightweight box cutter, mm, yellow , grey",general tools,"ideal for diyers, homeowners, handymen, and mechanics, the general tools ws retractable utility knife set gets the job done safer and faster",6.98,6.19,in stock,24,tools home improvement power hand tools hand tools knives parts accessories knives utility knives,olfa blade with a holder a cheapass box cutter is a cheapass box cutter
18,"daniel smith extra fine watercolor paint, ml tube, iridescent antique copper,",daniel smith,"daniel smith extra fine watercolors classic watercolors of unsurpassed purity and permanence the vision in the formulation of daniel smith watercolors was twofold first and foremost, to produce watercolors that are the best in lightfastness and permanencesecond, to offer a selection of truly unique colors daniel smith watercolors are formulated to meet and exceed the highest industry standards for the manufacture of artists paints, and every batch made is tested and analyzed for its performance qualities daniel smith is truly the worldwide leader of watercolors for artists with beautiful colors in the ml watercolors, the most of any manufacturer many are traditional colors relied upon by all artists, and there are many truly unique colors made only by daniel smith that have become so important to watercolor artists primatek watercolors are made from minerals, often semi precious minerals, that have been ground into pigments, mixed with gum arabic the binder and milled into primatek watercolors the first was lapis lazuli genuine in , since then, many more have been added such as amethyst genuine, piemontite genuine and serpentine genuine most of these colors have wonderful granulating effects that some artists have called magical luminescent watercolors have special optical effects perfect for subjects that have a sparkle, sheen, or reflective glow like the iridescence of hummingbird feathers or the sheen of metals cadmium hues, daniel smith has developed safe and vibrant cadmium hues with the density and richness of cadmium colors without the cadmium pigment virtually identical in color to their namesakes, they are cleaner in mixtures and much stronger in tints the working properties staining power, semitransparency and excellent lightfastness are nearly identical to those of the lowsoluble cadmium colors daniel smith previously manufactured some unique colors are created exclusively by daniel smith like cascade green, green gold and moonglow daniel smith also finds unusual pigments to make colors like mayan red, lunar blue and envirofriendly red iron oxide to provide more choices for artists other colors are from pigments daniel smith has sourced, often from very specific locations, colors like burgundy yellow ochre, monte amiata natural sienna and roasted french ochre daniel smith watercolors are a favorite of artists all over the world, from professional artists to the beginning watercolorists because of the beautiful colors, consistent performance and lasting color or lightfastness daniel smith watercolors are packed with high quality pigments using pure gum arabic as the binder no fillers for each color, daniel smith selects the perfect grind to yield particle sizes that maximize the qualities inherent in the pigment, balancing maximum pigment load with minimum vehicle content daniel smith offers many ways to experience their watercolors as well as providing extra creative means for artists with their watercolor grounds, masking fluid and walnut ink ml watercolors, available in more than colors, the most of any manufacturerml watercolors, available in of the most popular colors daniel smith makeswatercolor sticks, popular daniel smith watercolors shaped into stick form to draw and paint with, a new way to expressively use watercolorswatercolor dot cards, a great way to try daniel smith watercolors without buying whole tubes of paint these are dots of pure daniel smith watercolors that reactivate into paint with the touch of a wet brush, allowing artists to easily and cost effectively, try many colors two sizes dot card to try nearly the entire line of daniel smith watercolors and the dot card to try many daniel smith watercolorsprimatek watercolors, primatek watercolors, made from minerals, many semiprecious, that are ground into pigments and made into unique watercolors luminescent watercolors, luminescent watercolors with optical effectswatercolor sets essentials set, primatek set, alvaro castagnets master set, primary and secondary setswatercolor ground, paint watercolors on any surface when prepared with daniel smith watercolor ground, available in colors titanium white, buff titanium, mars black and transparent watercolor ground can help rescue a watercolor painting when applied over a mistake, giving an artist a second chance with a new surface to paint on when you choose daniel smith watercolors and other daniel smith products, you are choosing the best materials to create with daniel smith products are made in the usa, in seattle, washington for artists worldwide",18.64,13.52,only left in stock order soon,11,arts crafts sewing painting drawing art supplies painting paints,i use it with other daniel smith to make a tiad that i use a lot of
19,"nznd case for att motivate rd version motivate nd cricket icon cricket splendor with tempered glass screen protector, ring holderwrist strap, glitter liquid cute case pinkaqua",nznd,"nznd glitter flowing liquid floating gradient colorful with sparkling bling diamond, durable girls women cute case",13.98,13.98,in stock,229,cell phones accessories cases holsters sleeves basic cases,"only thing i can say negative wise was that i had thought it was a built in screen protector, but it is a stand alone screen protector that you have to apply yourself i bought this for my wife and that was one of the main reasons i had gotten this but its alright she loves it anyway so job well done for me"
20,"braun se epilator, hair removal device, epilator for women, includes shaver and facial cleansing exfoliator brush attachments, waterproof, cordless and rechargeable",braun,"introducing the beauty set , the starter in hair removal beauty set for face and body epilate, shave, trim, cleanse, exfoliate and apply creams and makeup x body exfoliation brush attachment removes dead skin cells, to prevent ingrown hairs epilator removes x shorter hair than wax for up to weeks of smooth skin includes a shaver trimmer attachment for hair removal in sensitive areas x facial brush attachments to cleanse and exfoliate cordless use up to mins wet and dry use in the bath or shower to reduce discomfort epilation is virtually painless with regular use braun epilators se, se, se, se flex are greencircle certified as a sustainable solution with certified energy savings the other accessories and attachments in the box were not assessed by greencircle",99.99,94.94,in stock,1003,beauty personal care shave hair removal womens epilators groomers trimmers epilators,did not realize it comes with an electric razor head and facial brush the facial brush is very weak so if you have sensitive skin it would probably be great i do not feel it goes fast or hard enough to exfoliate my skin
21,aqua select resin step in a box white ultra sturdy steps,aqua select,"the aqua select resin steps are ultrasturdy due to their injection molding and integrated segment construction for superior strength the steps will not sag or flex as well as requiring no weights to keep it in place with the included handrails and bracket you can mount them to your pool deck also included is a complimentary "" x "" liner guard to protect your steps and the pools bottom liner",399.99,399.99,only left in stock order soon,56,patio lawn garden pools hot tubs supplies parts accessories slides ladders diving boards pool ladders,"these are a bit taller than the steps they are replacing, but still a good fit and they are much sturdier than the old ones also, they dont require stones to hold them down and in place"
